Id,SalePrice
1461,122007.23390896726
1462,155866.50288355796
1463,180834.8698943761
1464,176102.9673595151
1465,198480.95224342513
1466,180788.3955003104
1467,165169.72213854297
1468,174195.8432486045
1469,185758.94924141513
1470,125861.72898174886
1471,198458.53502521166
1472,94080.01177225755
1473,94553.64739320311
1474,151919.58663146722
1475,145895.63665937734
1476,393462.63302192424
1477,249544.19124745112
1478,305695.02538260014
1479,237577.69359929714
1480,452628.8786754647
1481,317398.7604831279
1482,205128.06009095683
1483,173649.16956634246
1484,176786.46965259814
1485,172995.611633157
1486,194733.80022163357
1487,285172.87081818795
1488,233829.68625568977
1489,207203.74008555198
1490,192242.03280975347
1491,197143.16511742995
1492,107891.95217090096
1493,175783.5927117388
1494,282313.8059121065
1495,276380.0459096027
1496,223106.84243871318
1497,189350.8390215973
1498,151145.4075855275
1499,152441.73417064126
1500,147957.7090682214
1501,169625.1429366757
1502,167779.0834348602
1503,275543.62716514646
1504,242217.890063093
1505,216304.59759710496
1506,178660.40433489514
1507,214545.26730691668
1508,198185.90565787858
1509,158797.47699008722
1510,154116.25481388203
1511,152123.14126392387
1512,165276.3441509202
1513,141076.53792292185
1514,159277.32060685515
1515,177696.32538743093
1516,159047.6998897125
1517,151304.1847570775
1518,128100.9571242394
1519,220819.73366568785
1520,140775.86037271054
1521,146162.3321779305
1522,158587.61419142463
1523,114131.91080118825
1524,121274.05628200361
1525,124916.95506014815
1526,130154.11432980443
1527,97466.75053496327
1528,124350.38635994366
1529,143546.01171324402
1530,169168.45381132557
1531,120225.63484361401
1532,104793.58456818899
1533,140971.39747588593
1534,116837.51898792585
1535,157964.6729468845
1536,111742.0926085601
1537,81129.51836449787
1538,176427.5148364741
1539,209860.47870244566
1540,116548.59236943367
1541,145612.91090209887
1542,139056.23741642942
1543,208562.21590922176
1544,77425.31615741459
1545,95212.94751503284
1546,122338.47117638653
1547,131450.70241704184
1548,129895.16581611052
1549,107315.3443965204
1550,138962.20666936983
1551,113595.46546885706
1552,139140.69209449555
1553,136959.22697805136
1554,109586.53608654323
1555,165137.40929638696
1556,91008.62764533245
1557,123024.93935342603
1558,89045.97155943909
1559,112546.11244181437
1560,145270.44364403753
1561,133642.36217297855
1562,125914.70304619022
1563,124578.51054229854
1564,164711.6650419239
1565,158665.60336556504
1566,214246.39260180906
1567,79205.79384915621
1568,221455.34482029773
1569,140645.83041449462
1570,131104.67247208327
1571,127181.67475366453
1572,145309.44361542803
1573,239926.67611750786
1574,113764.08406925424
1575,201964.10499497666
1576,208414.04292189598
1577,203337.38875104624
1578,139734.42372709024
1579,144915.4063588305
1580,193336.218454295
1581,137833.39399147057
1582,129446.0771733555
1583,316757.3483801919
1584,238154.1366811358
1585,140433.20857270993
1586,63282.79870260356
1587,107337.0050911582
1588,141152.69704818647
1589,104973.94840889724
1590,128174.41765063803
1591,103705.92444134192
1592,123775.45763628096
1593,114484.90335450941
1594,120484.06032976505
1595,119719.25722058391
1596,232568.92972751707
1597,162001.88246249108
1598,182811.74303773083
1599,204024.79534368307
1600,191536.63501035844
1601,65244.68058976963
1602,107149.68793578091
